seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
3,Heuristic,MCTS-Vanilla,28,1,2,1.0,28,28,5,3
4,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,25,23
5,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,23,22
6,Heuristic,MCTS-Vanilla,41,1,2,1.0,41,41,6,4
7,Heuristic,MCTS-Vanilla,163,2,1,0.0,163,163,20,21
8,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,29,22
9,Heuristic,MCTS-Vanilla,187,2,1,0.0,187,187,26,34
10,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,24,24
11,Heuristic,MCTS-Vanilla,195,2,1,0.0,195,195,30,26
12,Heuristic,MCTS-Vanilla,53,1,2,1.0,53,53,8,5
13,Heuristic,MCTS-Vanilla,108,1,2,1.0,108,108,13,10
14,Heuristic,MCTS-Vanilla,14,1,2,1.0,14,14,6,4
15,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,26,22
16,Heuristic,MCTS-Vanilla,179,2,1,0.0,179,179,36,19
17,Heuristic,MCTS-Vanilla,156,1,2,1.0,156,156,22,17
18,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,24,26
19,Heuristic,MCTS-Vanilla,172,1,2,1.0,172,172,18,20
20,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,29,20
21,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,27,24
22,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,24,29
23,Heuristic,MCTS-Vanilla,108,1,2,1.0,108,108,16,13
24,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,32,17
25,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,24,26
26,Heuristic,MCTS-Vanilla,69,1,2,1.0,69,69,11,9
27,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,32,30
28,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,24,25
29,Heuristic,MCTS-Vanilla,173,2,1,0.0,173,173,24,28
30,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,23,19
31,Heuristic,MCTS-Vanilla,98,1,2,1.0,98,98,13,11
32,Heuristic,MCTS-Vanilla,178,2,1,0.0,178,178,33,28
33,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,29,17
34,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,21,19
35,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,25,17
36,Heuristic,MCTS-Vanilla,180,2,1,0.0,180,180,31,18
37,Heuristic,MCTS-Vanilla,144,1,2,1.0,144,144,21,21
38,Heuristic,MCTS-Vanilla,171,2,1,0.0,171,171,21,27
39,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,23,30
0,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,13,26
1,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,16,21
2,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,26,27
3,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,19,26
4,MCTS-Vanilla,MCTS-All,169,2,1,0.0,169,169,15,24
5,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,18,27
6,MCTS-Vanilla,MCTS-All,102,1,2,1.0,102,102,14,11
7,MCTS-Vanilla,MCTS-All,112,1,2,1.0,112,112,15,14
8,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,19,29
9,MCTS-Vanilla,MCTS-All,14,2,1,0.0,14,14,3,5
10,MCTS-Vanilla,MCTS-All,171,1,2,1.0,171,171,17,27
11,MCTS-Vanilla,MCTS-All,24,2,1,0.0,24,24,4,6
12,MCTS-Vanilla,MCTS-All,117,2,1,0.0,117,117,13,20
13,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,24,25
14,MCTS-Vanilla,MCTS-All,167,2,1,0.0,167,167,20,21
15,MCTS-Vanilla,MCTS-All,189,1,2,1.0,189,189,25,21
16,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,23,33
17,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,19,29
18,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,18,29
19,MCTS-Vanilla,MCTS-All,155,1,2,1.0,155,155,19,19
20,MCTS-Vanilla,MCTS-All,200,1,2,1.0,200,200,27,24
21,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,19,28
22,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,22,31
23,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,20,31
